problem_id,algorithm_structure,family,evaluation_cases,unique_evaluation_inputs,max_input_bytes,baseline_max_input_bytes,statement_characters,baseline_statement_characters,prompt_pairs_stored,prompt_pairs_unique,first_prompt_characters,source_sha256,statement_sha256
IPOP_10988,linear_or_ordered,IPOP_10988,13,13,101,101,240,325,10,2,1552,3a122a7bddda0bee8eb23fcd824ef66f26f1635e0c3b07ad80036e655045b6e4,ca7d9276e0758564760bd90d7ea369f12746e3031556defa375c659f1b836740
IPOP_1158,stateful,IPOP_1158,13,13,10,6,295,430,10,1,1674,2b65474fec855e94a57a1276d24a4859e8909dcc829ed771b39f58359de4d0e3,9486b75af341fffb6e8709c150c6c90319d06f5f781a78111d529fa06f3ca872
IPOP_11729,recursive_or_combinatorial,IPOP_11729,13,13,3,3,356,498,10,1,1935,2f4e87370a961521b7ee6ae648a8afdb18cc3bad1439f957d4044662cf502f65,d507c37e8d438896e3ceb9ab61a82a634cdc631fa5757570ce72cec319bc0aac
IPOP_1436,stateful,IPOP_1436,13,13,6,6,248,843,10,10,1523,47ef547e7fac65a49c21ee568bd542b31725b2de1500f41edcf18196f86b276b,bc82b4189b5288bf753413b160b332f40513b6a9df9e22a3e58149f60d6daf79
IPOP_14719,stateful,IPOP_14719,13,13,1508,18,257,454,10,3,1823,8dba2051851c12f69fcd065c08d0e5226f220a413a2633f0c047e5de269585d6,5f1c1de3a88226b1b52eaac29be491c05d6df00a6ff0547a8c8fa0bbe5484ed2
IPOP_1620,stateful,IPOP_1620,13,13,1188909,92,399,3004,10,1,2292,c2348ff4caf758f093e03a3963f4ed89ae478b980c3896031c183c644a5f9eb1,152d3135f3ceee94bbc7ef2d3d13569981ec83ca9d3c29df2a42cbd92b952599
IPOP_18870,linear_or_ordered,IPOP_18870,13,13,627791,30,288,463,10,2,1840,d9cd48682f420cd3c1cad1ff409b1d7a1fe264c232fcccced0674fcb9237d337,21dd3961400dd4139197170e7e8720936bb69ca6cdc06a270c7716f3695757bf
IPOP_1929,linear_or_ordered,IPOP_1929,13,13,15,15,287,200,10,1,1755,96e4e19cd7df2a60efe3bfecb2d7160544c3ca199a3fb27003a30487456ff58a,6cae78e1e807fb33f40af1cecef08e970aa7753903620244b43e72250c53327a
IPOP_1992,recursive_or_combinatorial,IPOP_1992,13,13,4163,4163,311,800,10,1,2297,f81654391c828b9ba16eae37cb02c1e9da3cb107c367e35bfc138b1e1ff1f40f,0af6a460454d10b725e57b336a37bb647676e9a969db0e2d3d848c1ebf8255d2
IPOP_2003,stateful,sliding_window,13,13,20011,22,295,365,10,2,1786,fa094b62271194763f73dfca2a2b2eccdb1972b24e9ef3f32ebd571a61df5d29,4eec605d71336fdea65a3206a7d5be735f0192390669d1a46046a73ef879c740
IPOP_2110,stateful,binary_search,13,13,1344459,24,320,607,10,10,2059,85c3bc32e810499c85b6c7eac6c03ee5531b068363d30f6c13a72905558f6c64,a4a716f96b576b38ad83086f42fa7b681cf85ab3d7b536e81fba8f390b45f03f
IPOP_2217,linear_or_ordered,IPOP_2217,13,13,488947,24,281,492,10,10,1803,f83fb8e0ecf8f99e32c6c3d1894952b109b7241dc438d1729ccd9d69bbbd07f0,3cda3208676e25cb32662ac464808ae9c54598463ef6cc2341671155d07662b4
IPOP_2579,stateful,IPOP_2579,13,13,1468,23,350,916,10,10,1869,31882bc966fcd7d557ccd7f6df97d17dcb1b6d211029650ac70c7626b806bc3b,928657ade0a4c3dd37513fb51b8c85dce650a241c6b7d2240dd6201932b65f10
IPOP_2609,linear_or_ordered,IPOP_2609,13,13,12,12,246,216,10,1,1518,917d9e5d1235e78de87279e3aaa70b471fb873b627ed399b9caa8a12ec308657,a486cea41b964e55dfcdedd2e86a26e59c4bc48a7b2a63c7d3554ef48aa3589f
IPOP_5567,stateful,graph_reachability,13,13,75643,45,322,612,10,9,2100,98c2b0e23d4a1b4107060d63a676a793f41896450718465573446caab91dd42f,1f781b153450149786aa6e8fc355b09b272cec60c2500f0441f0d7635343dd1e
